IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.206.49,4,4,0.00,21.79,0.00
162.159.60.115,4,4,0.00,25.87,0.00
104.17.143.15,4,4,0.00,29.93,0.00
162.159.43.117,4,4,0.00,32.30,0.00
104.19.40.157,4,4,0.00,42.38,0.00
104.19.59.160,4,4,0.00,42.67,0.00
104.19.34.107,4,4,0.00,47.09,0.00
104.19.38.127,4,4,0.00,49.03,0.00
104.19.51.198,4,4,0.00,49.29,0.00
104.19.47.239,4,4,0.00,53.32,0.00
104.19.56.73,4,4,0.00,53.94,0.00
190.93.245.88,4,4,0.00,62.47,0.00
104.19.214.167,4,4,0.00,62.85,0.00
104.19.35.237,4,4,0.00,64.19,0.00
104.17.133.42,4,4,0.00,64.86,0.00
141.101.114.26,4,4,0.00,65.43,0.00
190.93.244.213,4,4,0.00,66.16,0.00
104.18.230.109,4,4,0.00,66.63,0.00
104.18.228.139,4,4,0.00,67.73,0.00
141.101.115.242,4,4,0.00,69.91,0.00
104.19.43.68,4,4,0.00,73.75,0.00
104.19.58.208,4,4,0.00,74.22,0.00
104.18.173.16,4,4,0.00,77.29,0.00
104.17.52.5,4,4,0.00,77.83,0.00
198.41.220.53,4,4,0.00,84.20,0.00
104.16.245.38,4,4,0.00,84.79,0.00
198.41.212.119,4,4,0.00,86.99,0.00
162.159.34.12,4,4,0.00,90.44,0.00
104.17.215.246,4,4,0.00,91.72,0.00
104.17.216.13,4,4,0.00,91.95,0.00
104.17.213.162,4,4,0.00,92.40,0.00
162.159.35.24,4,4,0.00,92.47,0.00
104.17.209.21,4,4,0.00,94.64,0.00
198.41.221.173,4,4,0.00,95.33,0.00
104.17.180.63,4,4,0.00,95.84,0.00
104.17.20.11,4,4,0.00,96.33,0.00
104.17.222.52,4,4,0.00,97.27,0.00
104.17.182.62,4,4,0.00,97.79,0.00
104.17.165.44,4,4,0.00,98.02,0.00
104.17.173.184,4,4,0.00,98.03,0.00
104.16.145.238,4,4,0.00,98.65,0.00
104.17.176.226,4,4,0.00,98.85,0.00
198.41.208.47,4,4,0.00,99.14,0.00
190.93.246.244,4,4,0.00,100.22,0.00
104.17.184.23,4,4,0.00,100.29,0.00
104.16.149.59,4,4,0.00,100.88,0.00
104.17.56.144,4,4,0.00,101.68,0.00
108.162.198.182,4,4,0.00,101.84,0.00
162.159.201.245,4,4,0.00,101.88,0.00
162.159.42.96,4,4,0.00,102.70,0.00
104.17.178.243,4,4,0.00,106.01,0.00
104.17.179.7,4,4,0.00,106.07,0.00
104.17.174.31,4,4,0.00,109.12,0.00
104.18.85.212,4,4,0.00,111.69,0.00
104.17.166.198,4,4,0.00,112.63,0.00
104.17.156.223,4,4,0.00,130.69,0.00
104.17.155.107,4,4,0.00,130.89,0.00
190.93.247.165,4,4,0.00,141.30,0.00
104.17.207.149,4,4,0.00,142.69,0.00
104.17.151.207,4,4,0.00,143.76,0.00
104.17.153.66,4,4,0.00,146.81,0.00
104.17.164.232,4,4,0.00,147.13,0.00
104.17.147.49,4,4,0.00,152.61,0.00
104.17.160.152,4,4,0.00,155.54,0.00
104.16.57.108,4,4,0.00,156.00,0.00
104.17.247.207,4,4,0.00,156.32,0.00
104.17.159.230,4,4,0.00,156.83,0.00
104.21.227.0,4,4,0.00,156.92,0.00
104.16.53.120,4,4,0.00,157.03,0.00
104.17.248.56,4,4,0.00,157.18,0.00
104.18.3.233,4,4,0.00,157.38,0.00
104.17.227.189,4,4,0.00,157.81,0.00
104.22.55.79,4,4,0.00,158.03,0.00
104.17.150.38,4,4,0.00,158.24,0.00
104.18.7.178,4,4,0.00,158.33,0.00
104.21.228.85,4,4,0.00,158.34,0.00
104.22.60.40,4,4,0.00,158.39,0.00
104.17.163.71,4,4,0.00,158.95,0.00
104.18.14.152,4,4,0.00,158.98,0.00
104.16.46.249,4,4,0.00,159.05,0.00
104.17.224.225,4,4,0.00,159.17,0.00
104.22.56.41,4,4,0.00,159.44,0.00
104.18.5.7,4,4,0.00,159.95,0.00
104.16.48.176,4,4,0.00,160.37,0.00
104.17.250.168,4,4,0.00,160.76,0.00
104.17.253.204,4,4,0.00,160.88,0.00
104.18.2.229,4,4,0.00,160.90,0.00
104.16.49.135,4,4,0.00,161.08,0.00
104.16.56.47,4,4,0.00,161.36,0.00
104.16.52.68,4,4,0.00,161.40,0.00
104.17.246.172,4,4,0.00,161.47,0.00
104.17.225.87,4,4,0.00,161.64,0.00
104.16.55.214,4,4,0.00,161.78,0.00
